Date,Value
10/28/2021 13:44,97.7
10/28/2021 14:29,96.9
10/28/2021 15:29,94.3
10/28/2021 16:29,92.5
10/28/2021 17:29,92.6
10/28/2021 18:29,92.2
10/28/2021 19:29,90.3
10/28/2021 20:29,89.9
10/28/2021 21:29,89.8
10/28/2021 22:29,90.2
10/28/2021 23:29,89.4
10/29/2021 0:29,87
10/29/2021 1:29,84.6
10/29/2021 2:29,87.2
10/29/2021 3:29,91.1
10/29/2021 4:29,91.9
10/29/2021 5:29,92.8
10/29/2021 6:29,91.8
10/29/2021 7:29,88.2
10/29/2021 8:29,84.4
10/29/2021 9:29,78.5
10/29/2021 10:29,71.7
10/29/2021 11:29,67
10/29/2021 12:29,66
10/29/2021 13:29,65.2
10/29/2021 14:29,69.7
10/29/2021 15:29,75
10/29/2021 16:29,77.9
10/29/2021 17:29,79.2
10/29/2021 18:29,81.2
10/29/2021 19:29,83.5
10/29/2021 20:29,83
10/29/2021 21:29,83.6
10/29/2021 22:29,84.7
10/29/2021 23:29,88
10/30/2021 0:29,87.2
10/30/2021 1:29,87.6
10/30/2021 2:29,87.7
10/30/2021 3:29,89.2
10/30/2021 4:29,91.5
10/30/2021 5:29,92.7
10/30/2021 6:29,89.3
10/30/2021 7:29,84.6
10/30/2021 8:29,76.9
10/30/2021 9:29,72.2
10/30/2021 10:29,68.5
10/30/2021 11:29,66.6
10/30/2021 12:29,62.6
10/30/2021 13:29,63.8
10/30/2021 14:29,66.9
10/30/2021 15:29,69.4
10/30/2021 16:29,72.5
10/30/2021 17:29,75
10/30/2021 18:29,79.3
10/30/2021 19:29,81.1
10/30/2021 20:29,79.5
10/30/2021 21:29,80.2
10/30/2021 22:29,80.2
10/30/2021 23:29,80.2
10/31/2021 0:29,79.8
10/31/2021 1:29,80.3
10/31/2021 2:29,83.1
10/31/2021 3:29,81.5
10/31/2021 4:29,82.9
10/31/2021 5:29,83.8
10/31/2021 6:29,83.3
10/31/2021 7:29,79.8
10/31/2021 8:29,75.1
10/31/2021 9:29,69.1
10/31/2021 10:29,66.2
10/31/2021 12:29,64.3
10/31/2021 13:29,66.3
10/31/2021 14:29,69
10/31/2021 15:29,73
10/31/2021 16:29,75.5
10/31/2021 17:29,75.9
10/31/2021 18:29,77.2
10/31/2021 19:29,80.3
10/31/2021 20:29,83.2
10/31/2021 21:29,83.1
10/31/2021 22:29,83.9
10/31/2021 23:29,84.3
11/1/2021 0:29,85.8
11/1/2021 1:29,86.3
11/1/2021 2:29,87.3
11/1/2021 3:29,88.2
11/1/2021 4:29,89.7
11/1/2021 5:29,90.7
11/1/2021 6:29,88.9
11/1/2021 7:29,87.5
11/1/2021 8:29,84.2
11/1/2021 9:29,79.2
11/1/2021 10:29,71.6
11/1/2021 11:29,64.1
11/1/2021 12:29,61.7
11/1/2021 13:29,61.9
11/1/2021 14:29,65.1
11/1/2021 15:29,67.7
11/1/2021 16:29,67.7
11/1/2021 17:29,71.2
11/1/2021 18:29,74.3
11/1/2021 19:29,77
11/1/2021 20:29,77.7
11/1/2021 21:29,78.3
11/1/2021 22:29,81.2
11/1/2021 23:29,80.8
11/2/2021 0:29,82.4
11/2/2021 1:29,85.4
11/2/2021 2:29,86.8
11/2/2021 3:29,88.4
11/2/2021 4:29,89.2
11/2/2021 5:29,90.8
11/2/2021 6:29,90.7
11/2/2021 7:29,91.1
11/2/2021 8:29,90.1
11/2/2021 9:29,89
11/2/2021 10:29,87.6
11/2/2021 11:29,85.9
11/2/2021 12:29,83.9
11/2/2021 13:29,82.6
11/2/2021 14:29,82.9
11/2/2021 15:29,82
11/2/2021 16:29,83.9
11/2/2021 17:29,83.6
11/2/2021 18:29,84.9
11/2/2021 19:29,84.4
11/2/2021 20:29,84.4
11/2/2021 22:29,86.7
11/2/2021 23:29,89.6
11/3/2021 0:29,93.5
11/3/2021 1:29,95.6
11/3/2021 2:29,96.5
11/3/2021 3:29,96.7
11/3/2021 4:29,96.5
11/3/2021 5:29,96.7
11/3/2021 6:29,96.6
11/3/2021 7:29,96.7
11/3/2021 8:29,97.1
11/3/2021 9:29,97
11/3/2021 10:29,96
11/3/2021 11:29,96.3
11/3/2021 12:29,96.1
11/3/2021 13:29,96.6
11/3/2021 14:29,97.4
11/3/2021 15:29,97.7
11/3/2021 16:29,96.9
11/3/2021 17:29,96.9
11/3/2021 18:29,96.9
11/3/2021 19:29,96.2
11/3/2021 20:29,95.7
11/3/2021 21:29,96.6
11/3/2021 22:29,97.2
11/3/2021 23:29,96.7
11/4/2021 0:29,97.8
11/4/2021 1:29,98.1
11/4/2021 2:29,98.7
11/4/2021 3:29,99.3
11/4/2021 4:29,99.6
11/4/2021 5:29,99.6
11/4/2021 6:29,99.7
11/4/2021 7:29,99.5
11/4/2021 8:29,94.6
11/4/2021 9:29,92.3
11/4/2021 10:29,86
11/4/2021 11:29,84.6
11/4/2021 12:29,84.7
11/4/2021 13:29,85.5
11/4/2021 14:29,83.8
11/4/2021 15:29,84.9
11/4/2021 16:29,83.7
11/4/2021 17:29,80.6
11/4/2021 18:29,88.6
11/4/2021 19:29,87.1
11/4/2021 20:29,88.8
11/4/2021 21:29,89.3
11/4/2021 22:29,88.2
11/4/2021 23:29,85.9
11/5/2021 0:29,77.3
11/5/2021 1:29,80.3
11/5/2021 2:29,79.8
11/5/2021 3:29,76.5
11/5/2021 4:29,75.6
11/5/2021 5:29,73.5
11/5/2021 6:29,72.6
11/5/2021 7:29,71.8
11/5/2021 8:29,71.2
11/5/2021 9:29,68.5
11/5/2021 10:29,70.1
11/5/2021 11:29,72.2
11/5/2021 12:29,75.5
11/5/2021 13:29,81.4
11/5/2021 14:29,94.2
11/5/2021 16:29,94
11/5/2021 17:29,88.8
11/5/2021 18:29,85.7
11/5/2021 19:29,84.8
11/5/2021 20:29,87.5
11/5/2021 21:29,87.7
11/5/2021 22:29,83.7
11/5/2021 23:29,87.1
11/6/2021 0:29,88.3
11/6/2021 1:29,86.8
11/6/2021 2:29,88.3
11/6/2021 3:29,87.3
11/6/2021 4:29,87.6
11/6/2021 5:29,86.8
11/6/2021 6:29,86
11/6/2021 7:29,87.5
11/6/2021 8:29,90.1
11/6/2021 9:29,92
11/6/2021 10:29,90.2
11/6/2021 11:29,91.5
11/6/2021 12:29,89
11/6/2021 13:29,91.3
