Date,Value
10/28/2021 13:44,0
10/28/2021 14:29,0
10/28/2021 15:29,0
10/28/2021 16:29,0
10/28/2021 17:29,0
10/28/2021 18:29,0
10/28/2021 19:29,0
10/28/2021 20:29,0
10/28/2021 21:29,0
10/28/2021 22:29,0
10/28/2021 23:29,0
10/29/2021 0:29,0
10/29/2021 1:29,0
10/29/2021 2:29,0
10/29/2021 3:29,0
10/29/2021 4:29,0
10/29/2021 5:29,0
10/29/2021 6:29,3
10/29/2021 7:29,0.7
10/29/2021 8:29,2.1
10/29/2021 9:29,1.3
10/29/2021 10:29,7.4
10/29/2021 11:29,3
10/29/2021 12:29,4.6
10/29/2021 13:29,2.5
10/29/2021 14:29,4
10/29/2021 15:29,1.1
10/29/2021 16:29,0.8
10/29/2021 17:29,0.7
10/29/2021 18:29,2.3
10/29/2021 19:29,1.4
10/29/2021 20:29,1
10/29/2021 21:29,0.7
10/29/2021 22:29,0.9
10/29/2021 23:29,0.9
10/30/2021 0:29,0.9
10/30/2021 1:29,1.4
10/30/2021 2:29,1
10/30/2021 3:29,1.6
10/30/2021 4:29,1.3
10/30/2021 5:29,0.6
10/30/2021 6:29,1.3
10/30/2021 7:29,0.9
10/30/2021 8:29,0.8
10/30/2021 9:29,5
10/30/2021 10:29,0.6
10/30/2021 11:29,1.1
10/30/2021 12:29,1.7
10/30/2021 13:29,2
10/30/2021 14:29,1.6
10/30/2021 15:29,0
10/30/2021 16:29,0.9
10/30/2021 17:29,1.2
10/30/2021 18:29,0.8
10/30/2021 19:29,1.3
10/30/2021 20:29,1.2
10/30/2021 21:29,1.8
10/30/2021 22:29,2.1
10/30/2021 23:29,1.1
10/31/2021 0:29,2
10/31/2021 1:29,2
10/31/2021 2:29,1.4
10/31/2021 3:29,4.4
10/31/2021 4:29,2.6
10/31/2021 5:29,1.6
10/31/2021 6:29,2.2
10/31/2021 7:29,1.3
10/31/2021 8:29,3.9
10/31/2021 9:29,5.1
10/31/2021 10:29,4.2
10/31/2021 12:29,3.7
10/31/2021 13:29,3.9
10/31/2021 14:29,2.9
10/31/2021 15:29,0.8
10/31/2021 16:29,0.6
10/31/2021 17:29,1.5
10/31/2021 18:29,0.9
10/31/2021 19:29,1.5
10/31/2021 20:29,0.7
10/31/2021 21:29,1.6
10/31/2021 22:29,1.8
10/31/2021 23:29,1.4
11/1/2021 0:29,1.3
11/1/2021 1:29,3.3
11/1/2021 2:29,2.8
11/1/2021 3:29,4.5
11/1/2021 4:29,3.4
11/1/2021 5:29,1.2
11/1/2021 6:29,4.6
11/1/2021 7:29,3.5
11/1/2021 8:29,2.1
11/1/2021 9:29,0.6
