Date,Value
2012-05-24 23:00:00.000,0.4345285
2012-05-25 23:00:00.000,0.1303615
2012-05-26 23:00:00.000,0.2172662
2012-05-27 23:00:00.000,0.2172668
2012-05-28 23:00:00.000,0
2012-05-29 23:00:00.000,0
2012-05-30 23:00:00.000,0
2012-05-31 23:00:00.000,0.1738142
2012-06-01 23:00:00.000,0
2012-06-02 23:00:00.000,0
2012-06-03 23:00:00.000,0
2012-06-04 23:00:00.000,0.1303542
2012-06-05 23:00:00.000,0.217259
2012-06-06 23:00:00.000,0.0000041
2012-06-07 23:00:00.000,0
2012-06-08 23:00:00.000,0
2012-06-09 23:00:00.000,0
2012-06-10 23:00:00.000,0
2012-06-11 23:00:00.000,0
2012-06-12 23:00:00.000,0.0869082
2012-06-13 23:00:00.000,0.4345273
2012-06-14 23:00:00.000,0.0869082
2012-06-15 23:00:00.000,0
2012-06-16 23:00:00.000,0
2012-06-17 23:00:00.000,0
2012-06-18 23:00:00.000,0
2012-06-19 23:00:00.000,0.3476219
2012-06-20 23:00:00.000,0.1738124
2012-06-21 23:00:00.000,0.999408
2012-06-22 23:00:00.000,0.7386937
2012-06-23 23:00:00.000,0.6952422
2012-06-24 23:00:00.000,0.7821475
2012-06-25 23:00:00.000,0.0869094
2012-06-26 23:00:00.000,0.3910764
2012-06-27 23:00:00.000,0.6083385
2012-06-28 23:00:00.000,0
2012-06-29 23:00:00.000,0
2012-06-30 23:00:00.000,0
2012-07-01 23:00:00.000,0
2012-07-02 23:00:00.000,0
2012-07-03 23:00:00.000,0
2012-07-04 23:00:00.000,0.2607183
2012-07-05 23:00:00.000,0.825599
2012-07-06 23:00:00.000,0.3910752
2012-07-07 23:00:00.000,0.5648853
2012-07-08 23:00:00.000,0.2607189
2012-07-09 23:00:00.000,0
2012-07-10 23:00:00.000,0
2012-07-11 23:00:00.000,0.1738069
2012-07-12 23:00:00.000,0.4779811
2012-07-13 23:00:00.000,0.3910764
2012-07-14 23:00:00.000,0
2012-07-15 23:00:00.000,0.2172668
2012-07-16 23:00:00.000,0.434529
2012-07-17 23:00:00.000,0.1738081
2012-07-18 23:00:00.000,0.5214271
2012-07-19 23:00:00.000,0.1738081
2012-07-20 23:00:00.000,0.5214344
2012-07-21 23:00:00.000,0.4779823
2012-07-22 23:00:00.000,0
2012-07-23 23:00:00.000,0
2012-07-24 23:00:00.000,0
2012-07-25 23:00:00.000,0
2012-07-26 23:00:00.000,0.1738081
2012-07-27 23:00:00.000,0.130356
2012-07-28 23:00:00.000,0.3910775
2012-07-29 23:00:00.000,0.6517918
2012-07-30 23:00:00.000,0.1303566
2012-07-31 23:00:00.000,0.2172613
2012-08-01 23:00:00.000,0.3041661
2012-08-02 23:00:00.000,0
2012-08-03 23:00:00.000,0
2012-08-04 23:00:00.000,0
2012-08-05 23:00:00.000,0
2012-08-06 23:00:00.000,0
2012-08-07 23:00:00.000,0
2012-09-01 19:00:00.000,0
2012-09-02 19:00:00.000,0
2012-09-03 19:00:00.000,1.824996
2012-09-04 19:00:00.000,0.3650005
2012-09-05 19:00:00.000,0
2012-09-06 19:00:00.000,0
2012-09-07 19:00:00.000,0
2012-09-08 19:00:00.000,0
2012-09-09 19:00:00.000,0
2012-09-10 19:00:00.000,0
2012-09-11 19:00:00.000,0
2012-09-12 19:00:00.000,0
2012-09-13 19:00:00.000,0
2012-09-14 19:00:00.000,0
2012-09-15 19:00:00.000,0
2012-09-16 19:00:00.000,0.1738081
2012-09-17 19:00:00.000,0.5214271
2012-09-18 19:00:00.000,0.1738081
2012-09-19 19:00:00.000,0
2012-09-20 19:00:00.000,0
2012-09-21 19:00:00.000,0
2012-09-22 19:00:00.000,0
2012-09-23 19:00:00.000,0
2012-09-24 19:00:00.000,0.2607128
2012-09-25 19:00:00.000,0.6083319
2012-09-26 19:00:00.000,0.2607128
2012-09-27 19:00:00.000,0.2172607
2012-09-28 19:00:00.000,0
2012-09-29 19:00:00.000,0.0434512
2012-09-30 19:00:00.000,0
2012-10-01 19:00:00.000,0
2012-10-02 19:00:00.000,0
2012-10-03 19:00:00.000,0.1738081
2012-10-04 19:00:00.000,0.130356
2012-10-05 19:00:00.000,0.0869033
2012-10-06 19:00:00.000,0.0434512
2012-10-07 19:00:00.000,0.3041655
2012-10-08 19:00:00.000,0.1738086
2012-10-09 19:00:00.000,0.0434512
2012-10-10 19:00:00.000,0.2172613
2012-10-11 19:00:00.000,0
2012-10-12 19:00:00.000,0.1738086
